query_cpt,query_name,query_year,Ly_ans_cpts,Ly_ans_names,Ly_ans_years,Ly_rel_years,Uy_ans_cpts,Uy_ans_names,Uy_ans_years,Uy_rel_years
chemical_mesh_d007531,Isoflurophate,1946,"['gene_590', 'gene_43']","['BCHE', 'ACHE']","[1937, 1941]","[1946, 1959]",[],[],[],[]
chemical_mesh_d010830,Physostigmine,1878,['gene_43'],['ACHE'],[1941],[1951],[],[],[],[]
chemical_mesh_d004491,Edrophonium,1951,['gene_43'],['ACHE'],[1941],[1955],[],[],[],[]
chemical_mesh_d009388,Neostigmine,1935,['gene_43'],['ACHE'],[1941],[1955],[],[],[],[]
chemical_mesh_c004479,pimagedine,1949,"['gene_26', 'gene_4843', 'gene_4846']","['AOC1', 'NOS2', 'NOS3']","[1932, 1935, 1976]","[1956, 1993, 1994]",['gene_4842'],['NOS1'],[1966],[1996]
chemical_mesh_d015119,Aminocaproic Acid,1952,['gene_5340'],['PLG'],[1946],[1959],[],[],[],[]
chemical_mesh_d005472,Fluorouracil,1957,['gene_7298'],['TYMS'],[1960],[1962],[],[],[],[]
chemical_mesh_c005034,hexafluorenium,1955,['gene_590'],['BCHE'],[1937],[1964],[],[],[],[]
chemical_mesh_d004456,Echothiophate Iodide,1959,"['gene_590', 'gene_43']","['BCHE', 'ACHE']","[1937, 1941]","[1965, 1983]",[],[],[],[]
chemical_mesh_c028797,pralidoxime,1950,['gene_43'],['ACHE'],[1941],[1965],[],[],[],[]
chemical_mesh_d005702,Galantamine,1953,['gene_43'],['ACHE'],[1941],[1965],[],[],[],[]
chemical_mesh_d001545,Benserazide,1965,['gene_1644'],['DDC'],[1947],[1965],[],[],[],[]
chemical_mesh_c003722,tritoqualine,1964,['gene_3067'],['HDC'],[1948],[1967],[],[],[],[]
chemical_mesh_d008727,Methotrexate,1949,['gene_1719'],['DHFR'],[1961],[1967],[],[],[],[]
chemical_mesh_d009638,Norepinephrine,1947,"['gene_154', 'gene_153', 'gene_146', 'gene_155', 'gene_148', 'gene_147', 'gene_150', 'gene_152']","['ADRB2', 'ADRB1', 'ADRA1D', 'ADRB3', 'ADRA1A', 'ADRA1B', 'ADRA2A', 'ADRA2C']","[1967, 1975, 1963, 1989, 1989, 1989, 1983, 1989]","[1967, 1977, 1983, 1989, 1990, 1990, 1991, 1992]",[],[],[],[]
chemical_mesh_d001958,Brocresine,1967,['gene_3067'],['HDC'],[1948],[1968],[],[],[],[]
