hsa,gene_name,gene_concept,year
hsa00010,HK3,gene_3101,1951
hsa00010,HK1,gene_3098,1945
hsa00010,GCK,gene_2645,1952
hsa00010,GPI,gene_2821,1952
hsa00010,TPI1,gene_7167,1952
hsa00010,GAPDH,gene_2597,1952
hsa00010,ENO2,gene_2026,1974
hsa00010,ENO1,gene_2023,1958
hsa00010,PKM,gene_5315,1974
hsa00010,DLD,gene_1738,1910
hsa00010,LDHA,gene_3939,1964
hsa00010,LDHB,gene_3945,1964
hsa00010,LDHC,gene_3948,1969
hsa00010,ADH1A,gene_124,1955
hsa00010,ADH1B,gene_125,1973
hsa00010,AKR1A1,gene_10327,1938
hsa00010,ALDH2,gene_217,1982
hsa00010,ALDH7A1,gene_501,1954
hsa00010,PGM1,gene_5236,1968
hsa00010,PGM2,gene_55276,1961
hsa00010,G6PC1,gene_2538,1948
hsa00010,BPGM,gene_669,1965
hsa00010,PCK1,gene_5105,1965
hsa00010,PCK2,gene_5106,1963
hsa00020,CS,gene_1431,1953
hsa00020,ACLY,gene_47,1963
hsa00020,ACO2,gene_50,1970
hsa00020,IDH1,gene_3417,1972
hsa00020,DLD,gene_1738,1910
hsa00020,SDHB,gene_6390,1962
hsa00020,FH,gene_2271,1928
hsa00020,MDH1,gene_4190,1967
hsa00020,MDH2,gene_4191,1964
hsa00020,PC,gene_5091,1950
hsa00020,PCK1,gene_5105,1965
hsa00020,PCK2,gene_5106,1963
hsa00051,MPI,gene_4351,1969
hsa00051,HK3,gene_3101,1951
hsa00051,HK1,gene_3098,1945
hsa00051,KHK,gene_3795,1947
hsa00051,SORD,gene_6652,1957
hsa00051,AKR1B1,gene_231,1960
hsa00051,TPI1,gene_7167,1952
hsa00052,GALK1,gene_2584,1948
hsa00052,GALT,gene_2592,1931
hsa00052,GALE,gene_2582,1930
hsa00052,UGP2,gene_7360,1963
hsa00052,PGM1,gene_5236,1968
hsa00052,PGM2,gene_55276,1961
hsa00052,HK3,gene_3101,1951
hsa00052,HK1,gene_3098,1945
hsa00052,GCK,gene_2645,1952
hsa00052,G6PC1,gene_2538,1948
hsa00052,GLB1,gene_2720,1952
hsa00052,LCT,gene_3938,1804
hsa00052,LALBA,gene_3906,1955
hsa00052,B4GALT1,gene_2683,1974
hsa00052,GLA,gene_2717,1951
hsa00052,AKR1B1,gene_231,1960
hsa00052,GAA,gene_2548,1967
hsa00052,SI,gene_6476,1940
hsa00071,ACAT1,gene_38,1973
hsa00071,ACSBG1,gene_23205,1968
hsa00071,ADH1A,gene_124,1955
hsa00071,ADH1B,gene_125,1973
hsa00071,ALDH2,gene_217,1982
hsa00071,ALDH7A1,gene_501,1954
hsa00100,SQLE,gene_6713,1963
hsa00100,LBR,gene_3930,1967
hsa00100,EBP,gene_10682,1964
hsa00100,LIPA,gene_3988,1967
hsa00100,CEL,gene_1056,1948
hsa00130,TAT,gene_6898,1949
hsa00130,NQO1,gene_1728,1959
hsa00130,HPD,gene_3242,1975
hsa00140,CYP11A1,gene_1583,1976
hsa00140,STS,gene_412,1954
hsa00140,CYP21A2,gene_1589,1960
hsa00140,HSD3B1,gene_3283,1960
hsa00140,AKR1C2,gene_1646,1974
hsa00140,SULT1E1,gene_6783,1947
hsa00140,HSD17B1,gene_3292,1967
hsa00140,HSD17B2,gene_3294,1965
hsa00140,HSD17B6,gene_8630,1965
hsa00140,CYP1A1,gene_1543,1975
hsa00140,CYP1A2,gene_1544,1972
hsa00140,CYP1B1,gene_1545,1969
hsa00140,CYP19A1,gene_1588,1964
hsa00140,CYP7A1,gene_1581,1968
hsa00140,COMT,gene_1312,1958
hsa00230,PGM1,gene_5236,1968
hsa00230,PGM2,gene_55276,1961
hsa00230,PPAT,gene_5471,1958
hsa00230,ADSL,gene_158,1956
hsa00230,APRT,gene_353,1964
hsa00230,NT5C2,gene_22978,1966
hsa00230,NT5E,gene_4907,1938
hsa00230,PNP,gene_4860,1953
hsa00230,HPRT1,gene_3251,1967
hsa00230,ENTPD5,gene_957,1961
hsa00230,ITPA,gene_3704,1963
hsa00230,XDH,gene_7498,1950
hsa00230,GDA,gene_9615,1950
hsa00230,GUK1,gene_2987,1971
hsa00230,DCK,gene_1633,1968
hsa00230,ADCY1,gene_107,1962
hsa00230,ADCY10,gene_55811,1975
hsa00230,PDE3B,gene_5140,1966
hsa00230,AMPD3,gene_272,1963
hsa00230,AMPD1,gene_270,1975
hsa00230,ADK,gene_132,1967
hsa00230,ADA,gene_100,1942
hsa00230,ADA2,gene_51816,1915
hsa00230,AK2,gene_204,1963
hsa00230,AK1,gene_203,1951
hsa00230,ENPP3,gene_5169,1956
hsa00230,ALLC,gene_55821,1966
hsa00232,CYP1A2,gene_1544,1972
hsa00232,CYP2A6,gene_1548,1968
hsa00232,XDH,gene_7498,1950
hsa00240,UMPS,gene_7372,1967
hsa00240,CMPK1,gene_51727,1965
hsa00240,CMPK2,gene_129607,1968
hsa00240,ENTPD5,gene_957,1961
hsa00240,ENPP3,gene_5169,1956
hsa00240,UCK2,gene_7371,1962
hsa00240,NT5C2,gene_22978,1966
hsa00240,NT5E,gene_4907,1938
hsa00240,UPP1,gene_7378,1968
hsa00240,NT5C3A,gene_51251,1931
hsa00240,CDA,gene_978,1966
hsa00240,DCK,gene_1633,1968
hsa00240,DCTD,gene_1635,1961
hsa00240,DTYMK,gene_1841,1964
hsa00240,TYMS,gene_7298,1960
hsa00260,SHMT2,gene_6472,1957
hsa00260,AGXT,gene_189,1922
hsa00260,BPGM,gene_669,1965
hsa00260,PHGDH,gene_26227,1967
hsa00260,ALAS1,gene_211,1954
hsa00260,MAOB,gene_4129,1928
hsa00260,MAOA,gene_4128,1978
hsa00260,DLD,gene_1738,1910
hsa00260,DAO,gene_1610,1940
hsa00260,GATM,gene_2628,1956
hsa00260,CHDH,gene_55349,1926
hsa00260,ALDH7A1,gene_501,1954
hsa00260,CBS,gene_875,1971
hsa00260,SDS,gene_10993,1965
hsa00270,CBS,gene_875,1971
hsa00270,MAT1A,gene_4143,1941
hsa00270,MTAP,gene_4507,1978
hsa00270,TAT,gene_6898,1949
hsa00270,IL4I1,gene_259307,1945
hsa00270,AHCY,gene_191,1977
hsa00270,GCLC,gene_2729,1960
hsa00270,GSS,gene_2937,1955
hsa00270,GOT2,gene_2806,1956
hsa00270,LDHA,gene_3939,1964
hsa00270,LDHB,gene_3945,1964
hsa00270,LDHC,gene_3948,1969
hsa00270,MDH1,gene_4190,1967
hsa00270,MDH2,gene_4191,1964
hsa00270,SDS,gene_10993,1965
hsa00270,PHGDH,gene_26227,1967
hsa00310,ALDH7A1,gene_501,1954
hsa00310,DLD,gene_1738,1910
hsa00310,ACAT1,gene_38,1973
hsa00310,ALDH2,gene_217,1982
hsa00330,GATM,gene_2628,1956
hsa00330,CKM,gene_1158,1959
hsa00330,CKB,gene_1152,1975
hsa00330,ODC1,gene_4953,1968
hsa00330,AOC1,gene_26,1932
hsa00330,SMOX,gene_54498,1955
hsa00330,ALDH2,gene_217,1982
hsa00330,ALDH7A1,gene_501,1954
hsa00330,CNDP2,gene_55748,1969
hsa00330,MAOB,gene_4129,1928
hsa00330,MAOA,gene_4128,1978
hsa00330,OAT,gene_4942,1957
hsa00330,PYCR1,gene_5831,1975
hsa00330,LAP3,gene_51056,1962
hsa00330,GOT2,gene_2806,1956
hsa00330,DAO,gene_1610,1940
hsa00340,HAL,gene_3034,1831
hsa00340,HDC,gene_3067,1948
hsa00340,AOC1,gene_26,1932
hsa00340,ALDH2,gene_217,1982
hsa00340,ALDH7A1,gene_501,1954
hsa00340,HNMT,gene_3176,1970
hsa00340,MAOB,gene_4129,1928
hsa00340,MAOA,gene_4128,1978
hsa00340,CNDP2,gene_55748,1969
hsa00350,GOT2,gene_2806,1956
hsa00350,TAT,gene_6898,1949
hsa00350,IL4I1,gene_259307,1945
hsa00350,HPD,gene_3242,1975
hsa00350,FAH,gene_2184,1973
hsa00350,TYR,gene_7299,1906
hsa00350,TH,gene_7054,1965
hsa00350,TYRP1,gene_7306,1973
hsa00350,DDC,gene_1644,1947
hsa00350,DBH,gene_1621,1964
hsa00350,PNMT,gene_5409,1967
hsa00350,COMT,gene_1312,1958
hsa00350,MAOB,gene_4129,1928
hsa00350,MAOA,gene_4128,1978
hsa00350,ADH1A,gene_124,1955
hsa00350,ADH1B,gene_125,1973
hsa00350,TPO,gene_7173,1959
hsa00350,AOX1,gene_316,1940
hsa00350,MIF,gene_4282,1953
hsa00360,PAH,gene_5053,1920
hsa00360,DDC,gene_1644,1947
hsa00360,MAOB,gene_4129,1928
hsa00360,MAOA,gene_4128,1978
hsa00360,GOT2,gene_2806,1956
hsa00360,TAT,gene_6898,1949
hsa00360,IL4I1,gene_259307,1945
hsa00360,HPD,gene_3242,1975
hsa00360,MIF,gene_4282,1953
hsa00380,TDO2,gene_6999,1941
hsa00380,AFMID,gene_125061,1954
hsa00380,HAAO,gene_23498,1930
hsa00380,DLD,gene_1738,1910
hsa00380,ACAT1,gene_38,1973
hsa00380,DDC,gene_1644,1947
hsa00380,MAOB,gene_4129,1928
hsa00380,MAOA,gene_4128,1978
hsa00380,ALDH2,gene_217,1982
hsa00380,ALDH7A1,gene_501,1954
hsa00380,AOX1,gene_316,1940
hsa00380,ASMT,gene_438,1960
hsa00380,AANAT,gene_15,1973
hsa00380,CYP1A1,gene_1543,1975
hsa00380,CYP1A2,gene_1544,1972
hsa00380,CYP1B1,gene_1545,1969
hsa00380,INMT,gene_11185,1969
hsa00380,IL4I1,gene_259307,1945
hsa00380,AOC1,gene_26,1932
hsa00380,CAT,gene_847,1876
hsa00430,GAD1,gene_2571,1969
hsa00430,CSAD,gene_51380,1957
hsa00430,GGT1,gene_2678,1973
hsa00480,GGT1,gene_2678,1973
hsa00480,GCLC,gene_2729,1960
hsa00480,GSS,gene_2937,1955
hsa00480,LAP3,gene_51056,1962
hsa00480,ANPEP,gene_290,1970
hsa00480,GSTM1,gene_2944,1964
hsa00480,GSTK1,gene_373156,1975
hsa00480,GSR,gene_2936,1951
hsa00480,IDH1,gene_3417,1972
hsa00480,PGD,gene_5226,1966
hsa00480,G6PD,gene_2539,1952
hsa00480,TXNDC12,gene_51060,1966
hsa00480,ODC1,gene_4953,1968
hsa00500,GAA,gene_2548,1967
hsa00500,SI,gene_6476,1940
hsa00500,UGP2,gene_7360,1963
hsa00500,ENPP3,gene_5169,1956
hsa00500,GBA3,gene_57733,1927
hsa00500,PYGB,gene_5834,1968
hsa00500,AMY2A,gene_279,1948
hsa00500,AMY1A,gene_276,1937
hsa00500,TREH,gene_11181,1953
hsa00500,PGM1,gene_5236,1968
hsa00500,PGM2,gene_55276,1961
hsa00500,HK3,gene_3101,1951
hsa00500,HK1,gene_3098,1945
hsa00500,GCK,gene_2645,1952
hsa00500,G6PC1,gene_2538,1948
hsa00500,GPI,gene_2821,1952
hsa00561,ALDH2,gene_217,1982
hsa00561,ALDH7A1,gene_501,1954
hsa00561,AKR1B1,gene_231,1960
hsa00561,AKR1A1,gene_10327,1938
hsa00561,GK,gene_2710,1957
hsa00561,CEL,gene_1056,1948
hsa00561,PNPLA2,gene_57104,1975
hsa00561,PNLIP,gene_5406,1927
hsa00561,LIPC,gene_3990,1961
hsa00561,LPL,gene_4023,1956
hsa00561,GLA,gene_2717,1951
hsa00562,PTEN,gene_5728,1800
hsa00562,INPP5D,gene_3635,1794
hsa00562,PIK3C2A,gene_5286,1962
hsa00562,TPI1,gene_7167,1952
hsa00564,LCAT,gene_3931,1966
hsa00564,PLA2G1B,gene_5319,1967
hsa00564,PLB1,gene_151056,1966
hsa00564,LPCAT3,gene_10162,1971
hsa00564,PNPLA6,gene_10908,1978
hsa00564,CHAT,gene_1103,1925
hsa00564,ACHE,gene_43,1941
hsa00564,CHKA,gene_1119,1972
hsa00565,PLA2G1B,gene_5319,1967
hsa00565,PLB1,gene_151056,1966
hsa00590,PLA2G1B,gene_5319,1967
hsa00590,PLB1,gene_151056,1966
hsa00590,PTGES,gene_9536,1976
hsa00590,PTGES3,gene_10728,1967
hsa00590,CBR1,gene_873,1957
hsa00590,HPGD,gene_3248,1975
hsa00590,PTGDS,gene_5730,1967
hsa00590,ALOX5,gene_240,1980
hsa00590,CYP4F3,gene_4051,1966
hsa00590,GGT1,gene_2678,1973
hsa00590,CYP2B6,gene_1555,1967
hsa00590,EPHX2,gene_2053,1955
hsa00590,ALOX15,gene_246,1980
hsa00600,SGPL1,gene_8879,1975
hsa00600,GBA1,gene_2629,1973
hsa00600,GLB1,gene_2720,1952
hsa00600,GALC,gene_2581,1970
hsa00600,ARSA,gene_410,1967
hsa00600,NEU1,gene_4758,1948
hsa00600,GLA,gene_2717,1951
hsa00600,HEXA,gene_3073,1945
hsa00600,HEXB,gene_3074,1975
hsa00620,DLD,gene_1738,1910
hsa00620,ADH1A,gene_124,1955
hsa00620,ADH1B,gene_125,1973
hsa00620,AKR1A1,gene_10327,1938
hsa00620,PKM,gene_5315,1974
hsa00620,ALDH2,gene_217,1982
hsa00620,ALDH7A1,gene_501,1954
hsa00620,LDHA,gene_3939,1964
hsa00620,LDHB,gene_3945,1964
hsa00620,LDHC,gene_3948,1969
hsa00620,GLO1,gene_2739,1957
hsa00620,HAGH,gene_3029,1956
hsa00620,ME2,gene_4200,1961
hsa00620,ME1,gene_4199,1954
hsa00620,PC,gene_5091,1950
hsa00620,MDH1,gene_4190,1967
hsa00620,MDH2,gene_4191,1964
hsa00620,FH,gene_2271,1928
hsa00620,PCK1,gene_5105,1965
hsa00620,PCK2,gene_5106,1963
hsa00620,ACAT1,gene_38,1973
hsa00670,DHFR,gene_1719,1961
hsa00670,SHMT2,gene_6472,1957
hsa00670,TYMS,gene_7298,1960
hsa00760,PNP,gene_4860,1953
hsa00760,NT5C2,gene_22978,1966
hsa00760,NT5E,gene_4907,1938
hsa00760,ENPP3,gene_5169,1956
hsa00760,NADK,gene_65220,1966
hsa00760,AOX1,gene_316,1940
hsa00790,ALPI,gene_248,1951
hsa00790,ALPP,gene_250,1872
hsa00790,DHFR,gene_1719,1961
hsa00790,GGH,gene_8836,1966
hsa00790,SPR,gene_6697,1966
hsa00790,AKR1B1,gene_231,1960
hsa00790,CBR1,gene_873,1957
hsa00790,QDPR,gene_5860,1969
hsa00790,PCBD1,gene_5092,1958
hsa00790,PAH,gene_5053,1920
hsa00790,TH,gene_7054,1965
hsa00830,ADH1A,gene_124,1955
hsa00830,ADH1B,gene_125,1973
hsa00830,DHRS9,gene_10170,1956
hsa00830,HSD17B6,gene_8630,1965
hsa00830,AOX1,gene_316,1940
hsa00830,ALDH1A1,gene_216,1976
hsa00830,CYP1A1,gene_1543,1975
hsa00830,CYP1A2,gene_1544,1972
hsa00830,CYP2A6,gene_1548,1968
hsa00830,CYP2B6,gene_1555,1967
hsa00860,ALAS1,gene_211,1954
hsa00860,ALAD,gene_210,1962
hsa00860,HMBS,gene_3145,1961
hsa00860,UROD,gene_7389,1971
hsa00860,PPOX,gene_5498,1975
hsa00860,FECH,gene_2235,1963
