hsa,kegg_id,drug_name,drug_concept,year
hsa00010,dr:D00123,Cyanamide,chemical_mesh_d003484,1947
hsa00010,dr:D00131,Disulfiram,chemical_mesh_d004221,1949
hsa00071,dr:D00123,Cyanamide,chemical_mesh_d003484,1947
hsa00071,dr:D00131,Disulfiram,chemical_mesh_d004221,1949
hsa00130,dr:D00564,Warfarin,chemical_mesh_d014859,1950
hsa00130,dr:D03798,Dicumarol,chemical_mesh_d001728,1942
hsa00130,dr:D05457,Phenprocoumon,chemical_mesh_d010644,1953
hsa00130,dr:D07064,Acenocoumarol,chemical_mesh_d000074,1955
hsa00130,dr:D07131,Ethyl Biscoumacetate,chemical_mesh_d005017,1948
hsa00130,dr:D08354,Phenindione,chemical_mesh_d010630,1950
hsa00140,dr:D00152,Phloroglucinol,chemical_mesh_d010696,1930
hsa00140,dr:D00156,Glycyrrhetinic Acid,chemical_mesh_d006034,1953
hsa00140,dr:D00410,Metyrapone,chemical_mesh_d008797,1959
hsa00140,dr:D00420,Mitotane,chemical_mesh_d008939,1961
hsa00140,dr:D00574,Aminoglutethimide,chemical_mesh_d000616,1959
hsa00140,dr:D01899,Carbenoxolone,chemical_mesh_d002229,1960
hsa00140,dr:D02028,Glycyrrhizic Acid,chemical_mesh_d019695,1951
hsa00230,dr:D00161,Mercaptopurine,chemical_mesh_d015122,1953
hsa00230,dr:D00224,Allopurinol,chemical_mesh_d000493,1964
hsa00230,dr:D00341,Hydroxyurea,chemical_mesh_d006918,1963
hsa00230,dr:D00752,Mycophenolic Acid,chemical_mesh_d009173,1933
hsa00230,dr:D02365,Oxypurinol,chemical_mesh_d010117,1966
hsa00230,dr:D08603,Thioguanine,chemical_mesh_d013866,1955
hsa00240,dr:D00341,Hydroxyurea,chemical_mesh_d006918,1963
hsa00240,dr:D00584,Fluorouracil,chemical_mesh_d005472,1957
hsa00240,dr:D01244,Tegafur,chemical_mesh_d005641,1971
hsa00240,dr:D04197,Floxuridine,chemical_mesh_d005467,1959
hsa00260,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00260,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00260,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00260,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00260,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00260,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00270,dr:D03021,Azacitidine,chemical_mesh_d001374,1964
hsa00270,dr:D07258,Mitoguazone,chemical_mesh_d008935,1955
hsa00330,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00330,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00330,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00330,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00330,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00330,dr:D07258,Mitoguazone,chemical_mesh_d008935,1955
hsa00330,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00340,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00340,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
