query_cpt,query_name,query_year,Ly_ans_cpts,Ly_ans_names,Ly_ans_years,Ly_rel_years,Uy_ans_cpts,Uy_ans_names,Uy_ans_years,Uy_rel_years
chemical_mesh_d007531,Isoflurophate,1946,"['gene_590', 'gene_43']","['BCHE', 'ACHE']","[1937, 1941]","[1946, 1959]",[],[],[],[]
chemical_mesh_d010830,Physostigmine,1878,['gene_43'],['ACHE'],[1941],[1951],[],[],[],[]
chemical_mesh_d004491,Edrophonium,1951,['gene_43'],['ACHE'],[1941],[1955],[],[],[],[]
chemical_mesh_d009388,Neostigmine,1935,['gene_43'],['ACHE'],[1941],[1955],[],[],[],[]
chemical_mesh_c004479,pimagedine,1949,['gene_26'],['AOC1'],[1932],[1956],[],[],[],[]
chemical_mesh_d015119,Aminocaproic Acid,1952,['gene_5340'],['PLG'],[1946],[1959],[],[],[],[]
chemical_mesh_d004456,Echothiophate Iodide,1959,['gene_590'],['BCHE'],[1937],[1965],['gene_43'],['ACHE'],[1941],[1983]
chemical_mesh_c028797,pralidoxime,1950,['gene_43'],['ACHE'],[1941],[1965],[],[],[],[]
chemical_mesh_d005702,Galantamine,1953,['gene_43'],['ACHE'],[1941],[1965],[],[],[],[]
chemical_mesh_d004958,Estradiol,1937,[],[],[],[],['gene_2100'],['ESR2'],[1915],[1990]
chemical_mesh_d005703,Gallamine Triethiodide,1949,['gene_43'],['ACHE'],[1941],[1969],[],[],[],[]
chemical_mesh_d010261,Paraoxon,1950,['gene_43'],['ACHE'],[1941],[1970],[],[],[],[]
chemical_mesh_d014148,Tranexamic Acid,1964,[],[],[],[],['gene_5340'],['PLG'],[1946],[1972]
chemical_mesh_d004970,Estrone,1934,[],[],[],[],['gene_2100'],['ESR2'],[1915],[2004]
chemical_mesh_d004054,Diethylstilbestrol,1939,[],[],[],[],['gene_2100'],['ESR2'],[1915],[2004]
chemical_mesh_d013619,Tacrine,1961,[],[],[],[],['gene_43'],['ACHE'],[1941],[1975]
chemical_mesh_d000086,Acetazolamide,1952,[],[],[],[],"['gene_760', 'gene_763']","['CA2', 'CA5A']","[1952, 1830]","[1975, 1976]"
chemical_mesh_d004964,Estriol,1934,[],[],[],[],['gene_2100'],['ESR2'],[1915],[2021]
chemical_mesh_c031927,hydroquinone,1919,[],[],[],[],['gene_7299'],['TYR'],[1906],[1980]
chemical_mesh_d011729,Pyridostigmine Bromide,1953,[],[],[],[],['gene_43'],['ACHE'],[1941],[1980]
chemical_mesh_c015668,4-aminomethylbenzoic acid,1964,[],[],[],[],['gene_5340'],['PLG'],[1946],[1984]
chemical_mesh_d004005,Dichlorphenamide,1957,[],[],[],[],['gene_760'],['CA2'],[1952],[1997]
