hsa,kegg_id,drug_name,drug_concept
hsa00010,dr:D00123,Cyanamide,chemical_mesh_d003484
hsa00010,dr:D00131,Disulfiram,chemical_mesh_d004221
hsa00010,dr:D07257,lonidamine,chemical_mesh_c016371
hsa00010,dr:D08970,piragliatin,chemical_mesh_c553963
hsa00020,dr:D10691,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",chemical_mesh_c581236
hsa00051,dr:D01688,epalrestat,chemical_mesh_c038131
hsa00051,dr:D01715,risarestat,chemical_mesh_c051003
hsa00051,dr:D01842,fidarestat,chemical_mesh_c077139
hsa00051,dr:D02323,tolrestat,chemical_mesh_c040550
hsa00051,dr:D02328,zopolrestat,chemical_mesh_c067172
hsa00051,dr:D03806,ponalrestat,chemical_mesh_c042829
hsa00051,dr:D03807,FR 74366,chemical_mesh_c064920
hsa00051,dr:D05893,sorbinil,chemical_mesh_c026411
hsa00051,dr:D06403,ranirestat,chemical_mesh_c115070
hsa00052,dr:D00216,Acarbose,chemical_mesh_d020909
hsa00052,dr:D00625,miglitol,chemical_mesh_c045621
hsa00052,dr:D01665,voglibose,chemical_mesh_c102817
hsa00052,dr:D01688,epalrestat,chemical_mesh_c038131
hsa00052,dr:D01715,risarestat,chemical_mesh_c051003
hsa00052,dr:D01842,fidarestat,chemical_mesh_c077139
hsa00052,dr:D02323,tolrestat,chemical_mesh_c040550
hsa00052,dr:D02328,zopolrestat,chemical_mesh_c067172
hsa00052,dr:D03806,ponalrestat,chemical_mesh_c042829
hsa00052,dr:D03807,FR 74366,chemical_mesh_c064920
hsa00052,dr:D05893,sorbinil,chemical_mesh_c026411
hsa00052,dr:D06403,ranirestat,chemical_mesh_c115070
hsa00052,dr:D09605,1-Deoxynojirimycin,chemical_mesh_d017485
hsa00052,dr:D09779,emiglitate,chemical_mesh_c045622
hsa00071,dr:D00123,Cyanamide,chemical_mesh_d003484
hsa00071,dr:D00131,Disulfiram,chemical_mesh_d004221
hsa00071,dr:D05292,4-hydroxyphenylglycine,chemical_mesh_c023010
hsa00100,dr:D03012,avasimibe,chemical_mesh_c423185
hsa00100,dr:D03447,cetaben,chemical_mesh_c018246
hsa00100,dr:D03735,lecimibide,chemical_mesh_c084073
hsa00100,dr:D06609,"1-((1-(3-acetoxy-2,2-dimethylpropyl)-7-chloro-5-(2,3-dimethoxyphenyl)-2-oxo-1,2,3,5-tetrahydro-4,1-benzoxazepin-3-yl)acetyl)piperidine-4-acetic acid",chemical_mesh_c466644
hsa00130,dr:D00564,Warfarin,chemical_mesh_d014859
hsa00130,dr:D03798,Dicumarol,chemical_mesh_d001728
hsa00130,dr:D05177,nitisinone,chemical_mesh_c077073
hsa00130,dr:D05457,Phenprocoumon,chemical_mesh_d010644
hsa00130,dr:D07064,Acenocoumarol,chemical_mesh_d000074
hsa00130,dr:D07131,Ethyl Biscoumacetate,chemical_mesh_d005017
hsa00130,dr:D07134,flocoumafen,chemical_mesh_c048069
hsa00130,dr:D07136,diphenadione,chemical_mesh_c100262
hsa00130,dr:D07969,fluindione,chemical_mesh_c017673
hsa00130,dr:D08354,Phenindione,chemical_mesh_d010630
hsa00130,dr:D09676,tecarfarin,chemical_mesh_c547288
hsa00140,dr:D00152,Phloroglucinol,chemical_mesh_d010696
hsa00140,dr:D00153,Testolactone,chemical_mesh_d013738
hsa00140,dr:D00156,Glycyrrhetinic Acid,chemical_mesh_d006034
hsa00140,dr:D00321,Finasteride,chemical_mesh_d018120
hsa00140,dr:D00410,Metyrapone,chemical_mesh_d008797
hsa00140,dr:D00420,Mitotane,chemical_mesh_d008939
